French,English,Pronunciation,Part of speech
audience,2. auditory,odjɑ̃s,"n, fem"
acier,steel,asje,"n, masc"
renvoyer,"1. chase away, drive away, expel",ʀɑ̃vwaje,v
renvoyer,"2. discharge, dismiss, fire, sack",ʀɑ̃vwaje,v
renvoyer,"3. adjourn, delay, postpone",ʀɑ̃vwaje,v
renvoyer,4. reflect,ʀɑ̃vwaje,v
salade,salad,salad,"n, fem"
guérir,"1. care for, cure, treat",geʀiʀ,v
guérir,"2. heal, remedy",geʀiʀ,v
guérir,3. recover,geʀiʀ,v
participer,"participate, share, take part",paʀtisipe,v
résister,"resist, withstand",ʀeziste,v
cousine,cousin,kuzin,"n, masc"
splendide,lovely,splɑ̃did,adj
pipe,pipe,pip,"n, fem"
tuyau,"barrel, channel, pipe, tube",tɥijo,"n, fem"
accueillir,"1. accept, receive, take, take in",akœjiʀ,v
accueillir,"2. get, have",akœjiʀ,v
accueillir,"3. greet, salute",akœjiʀ,v
découverte,discovery,dekuvɛʀt,"n, fem"
arracher,eradicate,aʀaʃe,v
régime,regime,ʀeʒim,"n, masc"
album,album,albɔm,"n, masc"
original,original,ɔʀiʒinal,adj
remise,"1. abatement, discount, rebate",ʀəmiz,"n, fem"
remise,2. delivery,ʀəmiz,"n, fem"
promotion,promotion,pʀɔmɔtjɔ̃,"n, fem"
examiner,"examine, explore, investigate, research",ɛgzamine,v
franc,"frank, candid, straightforward",fʀɑ̃,adj
canapé,"couch, sofa",kanape,"n, masc"
commander,"1. book, order, reserve",kɔmɑ̃de,v
commander,"2. command, tell",kɔmɑ̃de,v
dessin,"design, drawing",dɛsɛ̃,"n, masc"
guère,hardly,gɛʀ,adv
interroger,interrogate,ɛ̃tɛʀɔʒe,v
paraître,"1. appear, emerge, perform",paʀɛtʀ,v
paraître,2. look,paʀɛtʀ,v
paraître,"3. appear to be, seem",paʀɛtʀ,v
obéir,obey,ɔbeiʀ,v
sain,"healthy, well",sɛ̃,adj
goutte,"drip, drop",gut,"n, fem"
réveil,"alarm, alarmclock",ʀevɛj,"n, masc"
suprême,supreme,sypʀɛm,adj
tarte,"pie, tart",taʀt,"n, fem"
cravate,"tie, necktie",kʀavat,"n, fem"
souper,"evening meal, supper",supe,"n, masc"
événement,event,evɛnmɑ̃,"n, masc"
remarque,1. remark,ʀəmaʀk,"n, fem"
remarque,"2. notice, observation",ʀəmaʀk,"n, fem"
chevalier,knight,ʃəvalje,"n, masc"
suffisamment,"enough, quite, rather, sufficiently",syfizamɑ̃,adv
charger,"1. entrust, tell",ʃaʀʒe,v
charger,"2. charge, load",ʃaʀʒe,v
produire,"afford, bear, produce",pʀodɥiʀ,v
record,record,ʀəkɔʀ,"n, masc"
étape,"stadium, stage",etap,"n, fem"
clinique,clinical,klinik,adj
abattre,"1. butcher, slaughter",abatʀ,v
abattre,2. cut off,abatʀ,v
abattre,3. depress,abatʀ,v
abattre,"4. dig up, excavate, grub",abatʀ,v
abattre,"5. drop, overthrow",abatʀ,v
abattre,6. abase,abatʀ,v
abattre,7. weaken,abatʀ,v
abattre,"8. break down, demolish, pull down, take down",abatʀ,v
abattre,"9. kill, liquidate, slay",abatʀ,v
élever,"1. breed, keep, raise, rear",ɛlve,vt
élever,"2. lever, lift",ɛlve,vt
dent,tooth,dɑ̃,"n, fem"
tabac,1. tobacco,taba,"n, masc"
tabac,2. tobacconist's shop,taba,"n, masc"
contacter,"contact, get in touch with",kɔtakte,vt
publicité,1. publicity,pyblisite,"n, fem"
publicité,"2. ad, advert, advertisement",pyblisite,"n, fem"
sincère,"above-board, sincere",sɛ̃sɛʀ,adj
rattraper,"earn back, regain, win back",ʀatʀape,v
efficace,"effective, efficient",efikas,adj
éteindre,"extinguish, put out",etɛ̃dʀ,vt
linge,cloth,lɛ̃ʒ,"n, fem"
goûter,taste,gute,v
canard,duck,kanaʀ,"n, masc"
identifier,1. distinguish,idɑ̃tifje,v
identifier,2. identify,idɑ̃tifje,v
cabane,"cabin, hut, shack",kaban,"n, fem"
stylo,"fountain-pen, fountain pen",stilo,"n, masc"
attaché,"1. affectionate, devoted, selfless",ataʃe,adj
cri,"cry, shout",kʀi,"n, masc"
angle,angle,ɑ̃gl,"n, masc"
instinct,instinct,ɛ̃stɛ̃,"n, masc"
séjour,stay,seʒuʀ,"n, masc"
ordures,"debris, rubbish, rubble",oʀdyʀ,"n, fem"
fauteuil,armchair,fotœj,"n, masc"
adjoint,1. assistant,adʒwɛ̃,"n, masc"
adjoint,"2. aid, helper",adʒwɛ̃,"n, masc"
collègue,colleague,kɔlɛg,"n, masc"
novembre,November,novɑ̃bʀ,"n, fem"
scandale,"commotion, scandal",skɑ̃dal,"n, masc"
aïe,"1. ouch, ow",aj,
aïe,2. woe,aj,
tragédie,tragedy,tʀaʒedi,"n, fem"
pénis,penis,peni,"n, masc"
boue,mud,bu,"n, fem"
enseigne,"shield, sign-board",ɑ̃sɛnj,"n, fem"
obscurité,"darkness, murk",ɔpskyʀite,"n, fem"
chapitre,chapter,ʃapitʀ,"n, masc"
signature,signature,sinjatyʀ,"n, fem"
rarement,seldom,ʀɑʀmɑ̃,adv
halte,stop,alt,"n, masc"
collection,"bevy, collection, group, heap, herd, set",kɔlɛksjɔ̃,"n, fem"
désastre,1. catastrophe,dezastʀ,"n, fem"
désastre,2. decay,dezastʀ,"n, fem"
noix,1. walnut,nwa,"n, fem"
noix,2. nut,nwa,"n, fem"
reconnaissance,1. acknowledgement,ʀəkonɛsɑ̃s,"n, fem"
reconnaissance,2. gratitude,ʀəkonɛsɑ̃s,"n, fem"
reconnaissance,"3. exploration, investigation, research",ʀəkonɛsɑ̃s,"n, fem"
reconnaissance,4. patrol,ʀəkonɛsɑ̃s,"n, fem"
reconnaissance,"5. scout, boy scout",ʀəkonɛsɑ̃s,"n, fem"
méthode,method,metɔd,"n, fem"
vilain,"nasty, ugly",vilɛ̃,adj
poing,fist,pwɛ̃,"n, masc"
britannique,British,bʀitanik,adj
dispute,"1. dispute, quarrel",dispyt,"n, masc"
août,August,ut,"n, masc"
quatrième,fourth,katʀiɛm,adj
ténèbres,darkness,tenɛbʀ,"n, fem"
population,population,popylasjɔ̃,"n, fem"
chasseur,hunter,ʃasœʀ,"n, masc"
livraison,delivery,livʀɛzɔ̃,"n, fem"
louer,hire,lue,v
torture,1. torture,toʀtyʀ,"n, fem"
torture,2. torment,toʀtyʀ,"n, fem"
remarquable,"noteworthy, remarkable",ʀəmaʀkabl,adj
câble,cable,kabl,"n, masc"
estime,"esteem, regard",ɛstim,"n, fem"
pomme,apple,pɔm,"n, fem"
autoroute,"1. motor road, motorway",otoʀut,"n, fem"
autoroute,"2. expressway, freeway",otoʀut,"n, fem"
moyenne,"average, mean",mwajɛn,"n, fem"
ingénieur,engineer,ɛ̃ʒenjœʀ,"n, masc"
tarder,be late,taʀde,v
merveille,"marvel, wonder",mɛʀvɛj,"n, fem"
oxygène,oxygen,oksiʒɛn,"n, masc"
sexuel,sexual,sɛksɥɛl,adj
industrie,industry,ɛ̃dystʀi,"n, fem"
accent,"1. accent, stress",aksɑ̃,"n, masc"
accent,2. stress-mark,aksɑ̃,"n, masc"
accent,"3. accent mark, supersign",aksɑ̃,"n, masc"
gris,1. tipsy,gʀi,adj
gris,2. grey,gʀi,adj
batterie,1. battery,batəʀi,"n, fem"
batterie,"2.  [mus] percussion section, drum kit",batəʀi,"n, fem"
communication,"account, communication",kɔmynikasjɔ̃,"n, fem"
manche,sleeve,mɑ̃ʃ,"n, fem"
grandir,"accrue, grow",gʀɑ̃diʀ,v
officiel,official,ofisjɛl,adj
chariot,"cart, chariot",ʃaʀjo,"n, masc"
prime,"bonus, premium, allowance",pʀim,"n, fem"
poésie,poetry,pɔezi,"n, fem"
annuler,"1. abolish, abrogate",anyle,v
annuler,"2. abjure, annul, cancel, remit",anyle,v
chagrin,"affliction, grief, sorrow",ʃagʀɛ̃,"n, masc"
trafic,traffic,tʀafik,"n, masc"
cinquante,fifty,sɛ̃kɑ̃t,num
foie,liver,fwa,"n, masc"
statue,statue,staty,"n, fem"
résistance,resistance,ʀezistɑ̃s,"n, fem"
volontiers,"1. preferably, rather",vɔlɔ̃tje,adv
volontiers,2. willingly,vɔlɔ̃tje,adv
cercueil,coffin,sɛʀkœj,"n, masc"
ignorer,"ignore, leave out of account",injɔʀe,v
piquer,"1. pick, stab, sting",pike,v
piquer,"2. quilt, stitch",pike,v
creuser,"dig, hollow out",kʀøze,v
médaille,medal,medaj,"n, fem"
phase,"phase, stage",faz,"n, fem"
chaos,"chaos, tangle",kao,"n, masc"
survie,survival,syʀvi,"n, fem"
ennuyeux,"boring, stodgy, tiresome",ɑ̃nɥijø,adj
aile,wing,ɛl,"n, fem"
plante,1. sole,plɑ̃t,"n, fem"
plante,2. plant,plɑ̃t,"n, fem"
activité,"1. action, activity",aktivite,"n, fem"
activité,2. vigour,aktivite,"n, fem"
activité,"3. making, manufacture",aktivite,"n, fem"
mobile,1. prompt,mobil,adj
mobile,2. mobile,mobil,adj
principe,principle,pʀɛ̃sip,"n, masc"
économie,economy,ekɔnɔmi,"n, fem"
plastique,plastic,plastik,adj
assister,"1. abet, aid, assist, help",asiste,v
assister,2. accommodate,asiste,v
assister,"3. attend, be present, witness",asiste,v
bail,lease,baj,"n, masc"
roue,wheel,ʀu,"n, fem"
génération,generation,ʒeneʀasjɔ̃,"n, fem"
bloc,"1. block, pad",blɔk,"n, masc"
bloc,"2. lump, mass",blɔk,"n, masc"
symbole,symbol,sɛ̃bɔl,"n, masc"
sagesse,wisdom,saʒɛs,"n, fem"
nègre,Negro,nɛgʀ,"n, masc"
masse,"1. accumulation, crowd, heap, mass, multitude, pile",mas,"n, fem"
masse,2. lump,mas,"n, fem"
phrase,sentence,fʀaz,"n, fem"
reconnaissant,thankful,ʀəkonɛsɑ̃,adj
pension,"1. pension, retirement",pɑ̃sjɔ̃,"n, fem"
pension,"2. boarding house, boarding school",pɑ̃sjɔ̃,"n, fem"
renoncer,"abandon, give up, resign, renounce",ʀənɔ̃se,v
four,"furnace, kiln, oven, stove",fuʀ,"n, masc"
règne,"1. control, reign, rule",ʀɛnj,"n, masc"
règne,"2. realm, state",ʀɛnj,"n, masc"
règne,"3. kingship, royalty",ʀɛnj,"n, masc"
saut,"jump, leap",so,"n, masc"
terreur,"alarm, terror, reign of terror",tɛʀœʀ,"n, fem"
avaler,swallow,avale,v
espérer,hope,ɛspeʀe,v
luxe,luxury,lyks,"n, masc"
ambassadeur,ambassador,ɑ̃basadœʀ,"n, masc"
informer,"acquaint, inform, report",ɛ̃fɔʀme,v
orage,storm,oʀaʒ,"n, fem"
époux,1. husband,epu,"n, masc"
époux,"2. couple, married people",epu,"n, masc"
accueil,"1. acceptance, admission",akœj,"n, masc"
accueil,"2. reception, reception desk",akœj,"n, masc"
atmosphère,1. agreement,atmosfɛʀ,"n, fem"
atmosphère,2. atmosphere,atmosfɛʀ,"n, fem"
ennui,boredom,ɑ̃nɥi,"n, masc"
suffisant,"enough, sufficient",syfizɑ̃,adj
poème,poem,poɛm,"n, masc"
revue,"magazine, periodical, revue",ʀəvy,"n, masc"
adaptation,"adaptation, adjustment",adaptasjɔ̃,"n, fem"
collège,"high school, secondary school",kɔlɛʒ,"n, masc"
otage,hostage,otaʒ,"n, masc"
apprécier,"1. esteem, think well of",apʀesje,v
apprécier,"2. appraise, estimate, rate",apʀesje,v
apprécier,"3. appreciate, like",apʀesje,v
diplôme,diploma,diplom,"n, masc"
bâtard,bastard,bataʀ,"n, masc"
destination,1. address,dɛstinasjɔ̃,"n, fem"
destination,"2. destiny, fate",dɛstinasjɔ̃,"n, fem"
analyse,analysis,analiz,"n, fem"
décembre,December,desɑ̃bʀ,"n, fem"
casier,"pigeonhole, locker, compartement",kazje,"n, masc"
royal,"regal, royal",ʀwajal,adj
texte,"lyric, text",tɛkst,"n, masc"
tigre,tiger,tigʀ,"n, fem"
pouce,thumb,pus,"n, masc"
requin,shark,ʀəkɛ̃,"n, masc"
essentiel,essential,ɛsɑ̃sjɛl,adj
fruit,fruit,fʀɥi,"n, masc"
cesser,"1. accommodate, end, finish, terminate",sɛse,v
cesser,"2. cease, stop",sɛse,v
poète,poet,poɛt,"n, masc"
automne,autumn,otɔn,"n, masc"
savon,soap,savɔ̃,"n, masc"
satisfait,"contented, pleased, satisfied",satisfɛ,adj
ramasser,"1. accumulate, amass, heap, pile up, stack",ʀamase,v
ramasser,"2. collect, gather, pick up",ʀamase,v
baisser,1. lower,bɛse,v
baisser,"2. descend, go down",bɛse,v
avertir,"caution, warn",avɛʀtiʀ,v
rembourser,repay,ʀɑ̃buʀse,v
fabrique,factory,fabʀik,"n, fem"
métal,metal,metal,"n, masc"
mélange,mixture,melɑ̃ʒ,"n, masc"
syndicat,"labour-union, trade-union, syndicate",sɛ̃dika,"n, masc"
indice,"indication, sign",ɛ̃dis,"n, masc"
processus,process,pʀɔsesy,"n, masc"
joint,seam,ʒwɛ̃,"n, masc"
clown,clown,klun,"n, masc"
poubelle,"dustbin, garbage can",pubɛl,"n, fem"
boisson,"beverage, drink",bwasɔ̃,"n, fem"
vaincre,"defeat, win over",vɛ̃kʀ,v
testament,"testament, will",tɛstamɑ̃,"n, masc"
administration,"administration, management",administʀasjɔ̃,"n, fem"
commissariat,police-station,kɔmisaʀja,"n, fem"
culotte,"1. drawers, panties, underpants",kylɔt,"n, fem"
culotte,"2. short pants, shorts",kylɔt,"n, fem"
fouiller,"examine, explore, investigate, research",fuje,v
laboratoire,laboratory,laboʀatwaʀ,"n, masc"
panier,basket,panje,"n, fem"
cuir,leather,kɥiʀ,"n, masc"
environnement,environment,ɑ̃viʀɔnmɑ̃,"n, masc"
interrompre,1. interrupt,ɛ̃tɛʀɔ̃pʀ,v
interrompre,2. stop,ɛ̃tɛʀɔ̃pʀ,v
matinée,morning,matine,"n, fem"
risquer,"hazard, risk, venture",ʀiske,v
transformer,transform,tʀɑ̃sfɔʀme,v
transport,"transport, transportation",tʀɑ̃spɔʀ,"n, masc"
citoyen,citizen,sitwaj,"n, masc"
viol,1. rape,vjɔl,"n, masc"
viol,2. violation,vjɔl,"n, masc"
particulièrement,"1. apart, separately",paʀtikyljɛʀəmɑ̃,adv
particulièrement,"2. particularly, specially",paʀtikyljɛʀəmɑ̃,adv
particulièrement,3. chiefly,paʀtikyljɛʀəmɑ̃,adv
douter,doubt,dute,v
pendre,"droop, hang",pɑ̃dʀ,v
accomplir,"accomplish, achieve, keep, observe, perform",akɔ̃pliʀ,v
allumer,"1. kindle, light",alyme,v
allumer,"2. switch, turn on",alyme,v
certes,"certainly, indeed, rather, surely",sɛʀt,adv
dessert,dessert,dɛsɛʀ,"n, masc"
curiosité,curiosity,kyʀjozite,"n, fem"
vodka,vodka,vodka,"n, fem"
témoignage,"1. certificate, testimony",temwoɲaʒ,"n, masc"
témoignage,"2. proof, sign, token",temwoɲaʒ,"n, masc"
témoignage,"3. character, mark, signal",temwoɲaʒ,"n, masc"
éclair,"1. flash of lightning, lightning bolt",eklɛʀ,"n, masc"
éclair,2.  [cul] éclair,eklɛʀ,"n, masc"
vain,"abortive, futile, useless, vain",vɛ̃,adj
nuage,cloud,nyaʒ,"n, masc"
anneau,ring,ano,"n, masc"
fumier,"fertilizer, manure",fymje,"n, masc"
étude,study,etyd,"n, fem"
atelier,"1. atelier, studio, work-room, workshop",atəlje,"n, masc"
atelier,2. workplace,atəlje,"n, masc"
cuisiner,cook,kɥizine,v
zoo,zoo,zɔo,"n, masc"
précisément,"exactly, precisely",pʀesizemɑ̃,adv
vomir,1. spit,vomiʀ,v
vomir,"2. throw up, vomit",vomiʀ,v
tonnerre,thunder,tɔnɛʀ,"n, masc"
assuré,"certain, sure",asyʀe,adj
destinée,"destiny, fate, fortune, luck",dɛstine,"n, fem"
observer,"keep, mind, observe",ɔpsɛʀve,v
peindre,paint,pɛ̃dʀ,v
coûter,cost,kute,v
parent,relative,paʀɑ̃,"n, masc"
dépression,depression,depʀesjɔ̃,"n, fem"
télégramme,telegram,telegʀam,"n, masc"
serrer,"1. put away, stow, lock up, shut up",sɛʀe,v
serrer,"2. press, press firmly",sɛʀe,v
serrer,"3. oppress, squeeze",sɛʀe,v
serrer,"4. strech, wind up, fasten, tighten, turn, turn on",sɛʀe,v
intéresser,1. interest,ɛ̃teʀese,v
intéresser,2. concern,ɛ̃teʀese,v
volontaire,volunteer,vɔlɔ̃tɛʀ,"n, fem"
nid,"den, nest",ni,"n, masc"
prêter,"borrow, lend, loan",pʀɛte,v
témoigner,"attest, bear witness of, testify",temwoɲe,v
troupe,"1. bevy, collection, group, heap, herd, set",tʀup,"n, fem"
troupe,"2. troop, troupe",tʀup,"n, fem"
regretter,1. be sorry about,ʀəgʀɛte,v
regretter,2. begrudge,ʀəgʀɛte,v
regretter,"3. feel sorry for, regret, repent, repent of",ʀəgʀɛte,v
regretter,4. mourn,ʀəgʀɛte,v
cigare,cigar,sigaʀ,"n, masc"
adversaire,"adversary, opponent",advɛʀsɛʀ,"n, masc"
misère,misery,mizɛʀ,"n, fem"
grève,strike,gʀɛv,"n, fem"
suisse,Swiss,sɥis,adj
diamant,diamond,djamɑ̃,"n, masc"
catastrophe,catastrophe,katastʀɔf,"n, fem"
subir,"1. go through, live to see",sybiʀ,v
subir,"2. abide, bear, endure, put up with, suffer",sybiʀ,v
mêler,"blend, mingle, mix, shuffle",mɛle,v
enveloppe,envelope,ɑ̃vəlɔp,"n, fem"
gras,"fat, fatty, greasy",gʀa,adj
interview,interview,ɛ̃tɛʀvju,"n, fem"
confier,"confide, have confidence in, trust, entrust",kɔ̃fje,v
voile,veil,vwal,"n, masc"
affection,affection,afɛksjɔ̃,"n, fem"
éléphant,elephant,elefɑ̃,"n, masc"
effrayant,frightening,efʀɛjɑ̃,adj
rapporter,"give an account, report",ʀapɔʀte,v
fonction,1. function,fɔ̃ksjɔ̃,"n, fem"
fonction,"2. job, office, post",fɔ̃ksjɔ̃,"n, fem"
fixe,1. fixed,fiks,adj
fixe,2. motionless,fiks,adj
circulation,"circulation, traffic",siʀkylasjɔ̃,"n, fem"
fameux,"famous, glorious",famø,adj
satellite,satellite,satɛlit,"n, masc"
endormir,"put to sleep, send to sleep, anethetise",ɑ̃dɔʀmiʀ,vt
fillette,little girl,fijɛt,"n, fem"
remède,"1. drug, medicine, pharmaceutical",ʀəmɛd,"n, masc"
remède,"2. means, remedy, resources",ʀəmɛd,"n, masc"
enseigner,teach,ɑ̃sɛnje,v
dignité,dignity,dinjite,"n, fem"
planche,1. bed,plɑ̃ʃ,"n, fem"
planche,2. shelf,plɑ̃ʃ,"n, fem"
planche,"3. board, plank",plɑ̃ʃ,"n, fem"
améliorer,improve,ameljɔʀe,v
civil,"civil, civilian, non-military",sivil,adj
vif,"adroit, agile, alert, brisk, keen",vif,adj
maintenir,"1. continue, go on, proceed with",mɛ̃təniʀ,v
maintenir,"2. conserve, keep, maintain, preserve",mɛ̃təniʀ,v
maintenir,"3. abet, support, sustain",mɛ̃təniʀ,v
onze,eleven,ɔ̃z,num
assaut,"1. access, aggression, attack",aso,"n, fem"
assaut,"2. assault, storming",aso,"n, fem"
disparition,1. departure,dispaʀisjɔ̃,"n, fem"
disparition,2. disappearance,dispaʀisjɔ̃,"n, fem"
pompe,"1. display, parade",pɔ̃p,"n, fem"
pompe,"2. pomp, splender",pɔ̃p,"n, fem"
pompe,3. pump,pɔ̃p,"n, fem"
feuille,"leaf, sheet",fœj,"n, fem"
mâle,"1. male, masculine",mal,"n, masc"
mâle,"2. fellow, man",mal,"n, masc"
promenade,"1. stroll, walk",pʀomənad,"n, fem"
promenade,2. promenade,pʀomənad,"n, fem"
monseigneur,monsignor,mɔ̃sɛnjœʀ,"n, masc"
actuellement,"currently, nowadays, these days",aktyɛləmɑ̃,adv
tragique,tragic,tʀaʒik,adj
antenne,"aerial, antenna",ɑ̃tɛn,"n, fem"
conflit,conflict,kɔ̃fli,"n, masc"
foire,"bazaar, fair, market",fwaʀ,"n, fem"
soutenir,"abide, endure",sutəniʀ,v
construction,"1. accommodation, adjustment, arrangement",kɔ̃stʀyksjɔ̃,"n, fem"
construction,2. building,kɔ̃stʀyksjɔ̃,"n, fem"
boucher,butcher,buʃe,"n, masc"
motif,"account, motive, reason",mɔtif,"n, masc"
ambassade,embassy,ɑ̃basad,"n, fem"
régiment,regiment,ʀeʒimɑ̃,"n, masc"
remarquer,notice,ʀəmaʀke,vt
enregistrement,recording,ɑ̃ʀəʒistʀəmɑ̃,"n, masc"
profit,"gain, profit",pʀofi,"n, masc"
lame,1. blade,lam,"n, fem"
lame,2. razor,lam,"n, fem"
budget,budget,bydʒɛ,"n, masc"
selle,saddle,sɛl,"n, fem"
effacer,"delete, wipe, wipe off",ɛfase,v
décrire,describe,dekʀiʀ,v
éternel,eternal,etɛʀnɛl,adj
médicament,"medicine, drug",medikamɑ̃,"n, masc"
association,association,asosjasjɔ̃,"n, fem"
quai,"platform, quay, wharf",kɛ,"n, masc"
tache,"blot, spot",taʃ,"n, masc"
tribu,tribe,tʀiby,"n, fem"
héroïne,1. heroine,eʀɔin,"n, fem"
héroïne,2. heroin,eʀɔin,"n, fem"
atterrir,land,atɛʀiʀ,v
fragile,1. fragile,fʀaʒil,adj
fragile,"2. breakable, brittle",fʀaʒil,adj
poignée,1. handle,pwanje,"n, fem"
poignée,2. handful,pwanje,"n, fem"
cadre,"cadre, frame, framework",kadʀ,"n, masc"
genou,knee,ʒənu,"n, masc"
légitime,legal,leʒitim,adj
déménager,"remove, move house",demenaʒə,v
dentiste,dentist,dɑ̃tist,"n, masc"
discipline,discipline,disiplin,"n, fem"
arabe,"Arabian, Arabic",aʀab,adj
demoiselle,Miss,dəmwazɛl,"n, fem"
misérable,"1. pitiful, poor",mizeʀabl,adj
misérable,"2. abject, dismal, meager, miserable, wretched",mizeʀabl,adj
pan,"bit, lump, piece",pɑ̃,"n, fem"
disponible,available,dispɔnibl,adj
nage,swimming,naʒ,"n, fem"
panneau,"1. dash-board, panel, wainscot",pano,"n, masc"
panneau,"2. board, plank",pano,"n, masc"
illusion,illusion,ilyzjɔ̃,"n, fem"
menu,menu,məny,"n, masc"
chanteur,singer,ʃɑ̃tœʀ,"n, masc"
tendance,tendency,tɑ̃dɑ̃s,"n, fem"
troupeau,"flock, herd",tʀupo,"n, masc"
saluer,"greet, salute",salye,v
assiette,plate,asjɛt,"n, fem"
rompre,break,ʀɔ̃pʀ,v
angoisse,"agony, anguish, fear",ɑ̃gwas,"n, fem"
pape,pope,pap,"n, masc"
colonne,"column, pillar",kɔlɔn,"n, fem"
maquillage,"make up, make-up",makijaʒ,
ticket,"1. bill, ticket, note",tikɛ,"n, masc"
ticket,2. coupon,tikɛ,"n, masc"
quête,"1. quest, search",kɛt,"n, fem"
quête,2. collection,kɛt,"n, fem"
pirate,pirate,piʀat,"n, masc"
psychiatre,psychiatrist,psikjatʀ,"n, masc"
honorable,"worthy, decent, honorable",ɔnɔʀabl,adj
vachement,"damned, hellish",vaʃmɑ̃,adv
taureau,bull,toʀo,"n, masc"
âne,"ass, donkey",an,"n, masc"
canal,"canal, channel",kanal,"n, masc"
navette,shuttle,navɛt,"n, fem"
revanche,"revenge, vengeance",ʀəvɑ̃ʃ,"n, fem"
placer,"locate, place",plase,v
absent,absent,absɑ̃,adj
routine,routine,ʀutin,"n, fem"
photographe,photographer,fotogʀaf,n
marchandise,"commodity, merchandise, wares",maʀʃɑ̃diz,"n, fem"
émotion,emotion,emosjɔ̃,"n, fem"
défaut,1. damage,defo,"n, fem"
défaut,2. abuse,defo,"n, fem"
défaut,"3. absence, lack, shortage, shortcoming",defo,"n, fem"
mystérieux,"abstruse, mysterious",misteʀjø,adj
possession,"1. colony, settlement",posɛsjɔ̃,"n, fem"
possession,"2. possession, property",posɛsjɔ̃,"n, fem"
minimum,minimum,minimɔm,"n, masc"
janvier,January,ʒɑ̃vje,"n, masc"
baraque,"barrack, barn, shack, shanty, shed",baʀak,"n, fem"
irlandais,Irish,iʀlɑ̃dɛ,adj
filet,"net, network",filɛ,"n, masc"
confortable,comfortable,kɔ̃fɔʀtabl,adj
profession,profession,pʀofɛsjɔ̃,"n, fem"
restant,"remainder, left over, rest",ʀɛstɑ̃,"n, masc"
ressentir,"feel, sense",ʀəsɑ̃tiʀ,v
grotte,"cave, grotto",gʀɔt,"n, fem"
péter,fart,pete,v
héritage,inheritance,eʀitaʒ,"n, masc"
Antoine,Antony,ɑ̃twan,n
punition,punishment,pynisjɔ̃,"n, fem"
constamment,constantly,kɔ̃stamɑ̃,adv
infiniment,"ad infinitum, endlessly",ɛ̃finimɑ̃,adv
chiffre,"cipher, digit, figure, numeral",ʃifʀ,"n, masc"
conscient,"aware, conscious",kɔ̃siɑ̃,adj
représentant,1. delegate,ʀəpʀezɑ̃tɑ̃,"n, masc"
représentant,2. broker,ʀəpʀezɑ̃tɑ̃,"n, masc"
représentant,"3. agent, representative",ʀəpʀezɑ̃tɑ̃,"n, masc"
gré,"will, willingness, wish",gʀe,"n, masc"
soie,silk,swa,"n, fem"
douzaine,dozen,duzɛn,"n, fem"
allure,"1. appearance, aspect, look, sight, view",alyʀ,"n, fem"
allure,2. speed,alyʀ,"n, fem"
pénible,1. painful,penibl,adj
pénible,"2. dismal, miserable",penibl,adj
clef,"1. key, wrench",kle,"n, fem"
clef,"2. adjustable wrench, spanner",kle,"n, fem"
formule,formula,foʀmyl,"n, fem"
aussitôt,"1. instantly, without delay",osito,adv
aussitôt,"2. at once, immediately, just, right away, right now",osito,adv
baignoire,bath,bɛnjwaʀ,"n, masc"
marchand,1. merchant,maʀʃɑ̃,"n, masc"
marchand,2. salesman,maʀʃɑ̃,"n, masc"
auquel,whom,okɛl,
apparence,"appearance, aspect, look, sight, view",apaʀɑ̃s,"n, fem"
sucer,suck,syse,v
habiter,"dwell, live",abite,v
foudre,lightning bolt,fudʀ,"n, fem"
nièce,niece,njɛs,"n, fem"
saisir,1. scald,sɛziʀ,v
saisir,"2. clutch, grab, grasp, grip, seize",sɛziʀ,v
saisir,"3. capture, catch, grapple",sɛziʀ,v
saisir,4. confiscate,sɛziʀ,v
saisir,"5. find, notice, perceive",sɛziʀ,v
saisir,"6. hit, run across, strike",sɛziʀ,v
cognac,"brandy, cognac",kɔnjak,"n, masc"
intime,"close, intimate",ɛ̃tim,adj
république,republic,ʀepyblik,"n, fem"
serviteur,"boy, servant",sɛʀvitœʀ,"n, masc"
noyer,1. drown,nwaje,v
noyer,2. walnut-tree,nwaje,v
amateur,"amateur, fancier",amatœʀ,n
vertu,"morality, virtue",vɛʀty,"n, fem"
engagement,1. commitment,ɑ̃gaʒmɑ̃,"n, masc"
engagement,2. engagement,ɑ̃gaʒmɑ̃,"n, masc"
